variable,n_pairs,median_first,median_last,median_change,ci_low,ci_high,W,p_value,p_adj
háplöntuþekja,159,56.84615384615385,73.41025641025641,6.956666666666666,7.609880307235018,12.044463806722465,8989.5,9.915273056252003e-15,3.966109222500801e-14
vegetation_height_1,159,10.373134328358208,9.897727272727273,-0.5643939393939394,-0.8755057799172049,1.012436568251744,6222,0.8616421536800869,0.8616421536800869
total_cover,159,98.26923076923077,98.4375,0,-0.24820164498926736,2.767018109936065,4231,0.11580415357145361,0.15440553809527147
soil_depth,159,102.7948717948718,104.60975609756098,0,-8.818936164555925,-1.3856315332951437,2606,0.007335993675839292,0.014671987351678585
