id,name,comments,insert_user,insert_time,update_user,update_time
1,Braun-Blanquet,NA,asrun,2013-10-03T10:38:55Z,NA,NA
5,Hults-Sernander ,	,asrun,2015-01-08T15:42:49Z,asrun,2015-01-08T15:45:39Z
6,Þekjuflokkar-snið,NA,asrun,2015-01-08T16:07:29Z,NA,NA
4,Þekjuflokkar-flákar,"Er öfug röðun á við framsetningu í NÍ-09008 og NÍ-09013. 3 er ríkjandi tegund, 1 á við að tegund komi fyrir. ",kjartan,2014-01-15T10:51:01Z,kjartan,2015-01-08T16:52:15Z
7,Á ekki við,NA,pawel,2020-06-09T09:27:01Z,NA,NA
8,VöNá þekjuskali,NA,olgakolbrun,2020-11-27T16:14:05Z,NA,NA
