id,taxon_id,insert_user,insert_time,update_user,update_time
2082,19291,kjartan,2013-10-25T14:47:22Z,NA,NA
2083,19292,kjartan,2013-10-25T14:47:22Z,NA,NA
2084,19293,kjartan,2013-10-25T14:47:22Z,NA,NA
2085,19294,kjartan,2013-10-25T14:47:22Z,NA,NA
2086,12099,kjartan,2013-10-25T14:47:22Z,NA,NA
2087,11323,kjartan,2013-10-25T14:47:22Z,NA,NA
2088,11324,kjartan,2013-10-25T14:47:22Z,NA,NA
2089,19295,kjartan,2013-10-25T14:47:22Z,NA,NA
2090,19296,kjartan,2013-10-25T14:47:22Z,NA,NA
2091,19297,kjartan,2013-10-25T14:47:22Z,NA,NA
2092,19298,kjartan,2013-10-25T14:47:22Z,NA,NA
2093,19299,kjartan,2013-10-25T14:47:22Z,NA,NA
2094,7343,kjartan,2013-10-25T14:47:22Z,NA,NA
2095,8019,kjartan,2013-10-25T14:47:22Z,NA,NA
2096,7867,kjartan,2013-10-25T14:47:22Z,NA,NA
2097,7870,kjartan,2013-10-25T14:47:22Z,NA,NA
2098,2449,kjartan,2013-10-25T14:47:22Z,NA,NA
2099,7868,kjartan,2013-10-25T14:47:22Z,NA,NA
2100,19300,kjartan,2013-10-25T14:47:22Z,NA,NA
2101,1020,kjartan,2013-10-25T14:47:22Z,NA,NA
2102,7606,kjartan,2013-10-25T14:47:22Z,NA,NA
2103,1046,kjartan,2013-10-25T14:47:22Z,NA,NA
2104,19301,kjartan,2013-10-25T14:47:22Z,NA,NA
2105,19302,kjartan,2013-10-25T14:47:22Z,NA,NA
2106,7467,kjartan,2013-10-25T14:47:22Z,NA,NA
2107,7468,kjartan,2013-10-25T14:47:22Z,NA,NA
2108,7470,kjartan,2013-10-25T14:47:22Z,NA,NA
2109,7498,kjartan,2013-10-25T14:47:22Z,NA,NA
2110,7471,kjartan,2013-10-25T14:47:22Z,NA,NA
2111,7491,kjartan,2013-10-25T14:47:22Z,NA,NA
2112,7984,kjartan,2013-10-25T14:47:22Z,NA,NA
2113,7504,kjartan,2013-10-25T14:47:22Z,NA,NA
2114,7487,kjartan,2013-10-25T14:47:22Z,NA,NA
2115,7472,kjartan,2013-10-25T14:47:22Z,NA,NA
2116,11326,kjartan,2013-10-25T14:47:22Z,NA,NA
2117,19303,kjartan,2013-10-25T14:47:22Z,NA,NA
2118,19304,kjartan,2013-10-25T14:47:22Z,NA,NA
2119,7972,kjartan,2013-10-25T14:47:22Z,NA,NA
