id,width,length,comments,insert_user,insert_time,update_user,update_time
2,33,100,NA,asrun,2013-10-03T10:29:44Z,NA,NA
3,50,50,NA,asrun,2013-10-03T10:29:54Z,NA,NA
4,0,0,Flákar að öllum stærðum. Flatarmál hver er skráður í Plot Area.,asrun,2014-01-16T13:45:03Z,NA,NA
5,4,25,NA,asrun,2015-01-06T14:18:45Z,NA,NA
6,100,100,NA,asrun,2015-02-18T16:45:22Z,NA,NA
7,25,25,NA,starri,2019-07-24T14:32:52Z,NA,NA
