id,plot_id,analyser_id,position_length,position_width,subplot_number,soil_type_id,stone_class,permafrost,nitrogen,total_cover,vegetation_height_1,vegetation_height_2,vegetation_height_3,vegetation_height_4,biomass,carbon,ph,soil_depth,soil_temperature_1,soil_temperature_2,topography_id,images,comments,insert_user,insert_time,update_user,update_time,moisture_id,soil_temperature_3,soil_compaction_1,soil_compaction_2,soil_compaction_3,vegetation_stress_condition
17783,2115,24,NA,NA,0,NA,NA,FALSE,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,elly,2016-08-12T15:28:22Z,NA,NA,NA,NA,NA,NA,NA,NA
11185,1400,7,NA,NA,4,12,NA,FALSE,NA,100,5,NA,NA,NA,NA,NA,NA,115,NA,NA,10,NA,NA,kjartan,2015-02-10T13:25:39Z,NA,NA,3,NA,NA,NA,NA,NA
7,2,25,NA,NA,2,17,NA,FALSE,NA,100,5,7,7,6,NA,NA,NA,18,30.9,28.2,9,NA,NA,asrun,2013-11-11T12:00:24Z,kjartan,2014-06-11T14:47:18Z,3,NA,NA,NA,NA,NA
6,2,24,NA,NA,1,17,NA,FALSE,NA,99,7,6,6,5,99,NA,NA,65,28.2,27.8,10,NA,NA,asrun,2013-11-11T11:51:04Z,kjartan,2014-06-11T14:47:18Z,3,NA,NA,NA,NA,NA
11186,1400,7,NA,NA,5,12,NA,FALSE,NA,100,5,NA,NA,NA,NA,NA,NA,115,NA,NA,10,NA,NA,kjartan,2015-02-10T13:25:39Z,NA,NA,3,NA,NA,NA,NA,NA
11187,1400,7,NA,NA,6,12,NA,FALSE,NA,100,5,NA,NA,NA,NA,NA,NA,115,NA,NA,10,NA,NA,kjartan,2015-02-10T13:25:39Z,NA,NA,3,NA,NA,NA,NA,NA
11188,1400,7,NA,NA,7,12,NA,FALSE,NA,99,5,NA,NA,NA,NA,NA,NA,115,NA,NA,10,NA,NA,kjartan,2015-02-10T13:25:39Z,NA,NA,3,NA,NA,NA,NA,NA
11189,1400,7,NA,NA,8,12,NA,FALSE,NA,100,5,NA,NA,NA,NA,NA,NA,115,NA,NA,10,NA,NA,kjartan,2015-02-10T13:25:40Z,NA,NA,3,NA,NA,NA,NA,NA
17784,2116,24,NA,NA,0,NA,NA,FALSE,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,elly,2016-08-12T15:34:32Z,NA,NA,NA,NA,NA,NA,NA,NA
11191,1401,7,NA,NA,1,12,NA,FALSE,NA,100,5,NA,NA,NA,NA,NA,NA,115,NA,NA,10,NA,NA,kjartan,2015-02-10T13:25:40Z,NA,NA,4,NA,NA,NA,NA,NA
11192,1401,7,NA,NA,2,12,NA,FALSE,NA,100,5,NA,NA,NA,NA,NA,NA,115,NA,NA,10,NA,NA,kjartan,2015-02-10T13:25:40Z,NA,NA,4,NA,NA,NA,NA,NA
11193,1401,7,NA,NA,3,12,NA,FALSE,NA,90,5,NA,NA,NA,NA,NA,NA,115,NA,NA,8,NA,NA,kjartan,2015-02-10T13:25:40Z,NA,NA,4,NA,NA,NA,NA,NA
17785,2117,24,NA,NA,0,NA,NA,FALSE,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,elly,2016-08-12T15:47:12Z,NA,NA,NA,NA,NA,NA,NA,NA
478,151,7,NA,NA,1,2,NA,FALSE,NA,100,40,44,60,57,NA,NA,NA,115,NA,NA,10,Yfirlit: 0384  Smáreitur: 0385  Jarðvegssýni: 0386  Auka: 0387,NA,kjartan,2014-05-22T15:32:29Z,kjartan,2014-06-11T14:47:18Z,1,NA,NA,NA,NA,NA
479,151,7,NA,NA,2,2,NA,FALSE,NA,98,47,45,9,11,NA,NA,NA,115,NA,NA,10,NA,NA,kjartan,2014-05-22T15:32:29Z,kjartan,2014-06-11T14:47:18Z,1,NA,NA,NA,NA,NA
480,151,7,NA,NA,3,2,NA,FALSE,NA,100,21,27,34,25,NA,NA,NA,115,NA,NA,10,NA,NA,kjartan,2014-05-22T15:32:29Z,kjartan,2014-06-11T14:47:18Z,1,NA,NA,NA,NA,NA
481,151,7,NA,NA,4,2,NA,FALSE,NA,100,13,32,40,12,NA,NA,NA,115,NA,NA,10,NA,NA,kjartan,2014-05-22T15:32:29Z,kjartan,2014-06-11T14:47:18Z,1,NA,NA,NA,NA,NA
482,151,7,NA,NA,5,2,NA,FALSE,NA,85,50,54,43,55,NA,NA,NA,115,NA,NA,10,Yfirlit: 0394  Smáreitur: 0392  Jarðvegssýni: 0393  Auka: 0391,NA,kjartan,2014-05-22T15:32:29Z,kjartan,2014-06-11T14:47:18Z,1,NA,NA,NA,NA,NA
483,151,7,NA,NA,6,2,NA,FALSE,NA,98,55,53,40,46,NA,NA,NA,115,NA,NA,10,NA,NA,kjartan,2014-05-22T15:32:29Z,kjartan,2014-06-11T14:47:18Z,1,NA,NA,NA,NA,NA
484,151,7,NA,NA,7,2,NA,FALSE,NA,80,45,49,40,48,NA,NA,NA,115,NA,NA,10,NA,NA,kjartan,2014-05-22T15:32:29Z,kjartan,2014-06-11T14:47:18Z,1,NA,NA,NA,NA,NA
485,151,7,NA,NA,8,2,NA,FALSE,NA,100,44,40,15,11,NA,NA,NA,115,NA,NA,10,NA,NA,kjartan,2014-05-22T15:32:29Z,kjartan,2014-06-11T14:47:18Z,1,NA,NA,NA,NA,NA
487,152,7,NA,NA,1,16,NA,FALSE,NA,2,0,0,0,0,NA,NA,NA,0,NA,NA,10,Yfirlit: 0395  Smáreitur: 0396  Jarðvegssýni:    Auka: 0397,NA,kjartan,2014-05-22T15:32:29Z,kjartan,2014-06-11T14:47:18Z,4,NA,NA,NA,NA,NA
488,152,7,NA,NA,2,16,NA,FALSE,NA,40,0,2,2,0,NA,NA,NA,0,NA,NA,7,Yfirlit:    Smáreitur:    Jarðvegssýni:    Auka: 0398,NA,kjartan,2014-05-22T15:32:29Z,kjartan,2014-06-11T14:47:18Z,4,NA,NA,NA,NA,NA
489,152,7,NA,NA,3,16,NA,FALSE,NA,2,0,0,0,0,NA,NA,NA,0,NA,NA,8,Yfirlit:    Smáreitur:    Jarðvegssýni:    Auka: 0399,NA,kjartan,2014-05-22T15:32:29Z,kjartan,2014-06-11T14:47:18Z,4,NA,NA,NA,NA,NA
490,152,7,NA,NA,4,16,NA,FALSE,NA,7,0,0,0,0,NA,NA,NA,0,NA,NA,10,NA,NA,kjartan,2014-05-22T15:32:29Z,kjartan,2014-06-11T14:47:18Z,4,NA,NA,NA,NA,NA
491,152,7,NA,NA,5,16,NA,FALSE,NA,30,3,0,0,0,NA,NA,NA,0,NA,NA,7,Yfirlit: 0406  Smáreitur: 0405  Jarðvegssýni:    Auka: 0400,NA,kjartan,2014-05-22T15:32:29Z,kjartan,2014-06-11T14:47:18Z,4,NA,NA,NA,NA,NA
