id,name,code,insert_user,insert_time,update_user,update_time
1,Suðurland,SVL,pawel,2020-06-09T09:17:09Z,NA,NA
2,Norðausturland,NAL,nna.stella,2021-04-12T13:56:35Z,NA,NA
