id,plot_id,image_path,comments,insert_user,insert_time,update_user,update_time
814,3094,http://fotoware.ni.is/fotoweb/archives/5006-Natturustofur/Voktun Natturuverndarsvaeda/Vesturland/Móðulækur í Þjóðgarði Snæfellsjökli/20240802/907A5593 - SN-53-02 Miðja.JPG.info,NA,nsv.jakob,2024-09-05T09:37:54Z,NA,NA
815,3094,http://fotoware.ni.is/fotoweb/archives/5006-Natturustofur/Voktun Natturuverndarsvaeda/Vesturland/Móðulækur í Þjóðgarði Snæfellsjökli/20240802/907A5595907A5593 - SN-53-02 Miðja.JPG.info,NA,nsv.jakob,2024-09-05T09:38:04Z,NA,NA
816,3094,http://fotoware.ni.is/fotoweb/archives/5006-Natturustofur/Voktun Natturuverndarsvaeda/Vesturland/Móðulækur í Þjóðgarði Snæfellsjökli/20240802/907A5596907A5593 - SN-53-02 Miðja.JPG.info,NA,nsv.jakob,2024-09-05T09:38:10Z,NA,NA
817,3094,http://fotoware.ni.is/fotoweb/archives/5006-Natturustofur/Voktun Natturuverndarsvaeda/Vesturland/Móðulækur í Þjóðgarði Snæfellsjökli/20240802/907A5594907A5593 - SN-53-02 Miðja.JPG.info,NA,nsv.jakob,2024-09-05T09:38:16Z,NA,NA
818,3094,http://fotoware.ni.is/fotoweb/archives/5006-Natturustofur/Voktun Natturuverndarsvaeda/Vesturland/Móðulækur í Þjóðgarði Snæfellsjökli/20240802/907A5597907A5593 - SN-53-02 Endapunktur.JPG.info,NA,nsv.jakob,2024-09-05T09:38:22Z,NA,NA
819,3099,http://fotoware.ni.is/fotoweb/archives/5006-Natturustofur/Voktun Natturuverndarsvaeda/Sudausturland/Grænifjallgarður/2024/G03-5/IMG_3147.jpeg.info,NA,nattsa.holmfridur,2024-09-10T11:47:45Z,NA,NA
820,3099,http://fotoware.ni.is/fotoweb/archives/5006-Natturustofur/Voktun Natturuverndarsvaeda/Sudausturland/Grænifjallgarður/2024/G03-5/IMG_3150.jpeg.info,NA,nattsa.holmfridur,2024-09-10T11:47:47Z,NA,NA
821,3099,http://fotoware.ni.is/fotoweb/archives/5006-Natturustofur/Voktun Natturuverndarsvaeda/Sudausturland/Grænifjallgarður/2024/G03-5/IMG_3148.jpeg.info,NA,nattsa.holmfridur,2024-09-10T11:47:50Z,NA,NA
822,3099,http://fotoware.ni.is/fotoweb/archives/5006-Natturustofur/Voktun Natturuverndarsvaeda/Sudausturland/Grænifjallgarður/2024/G03-5/IMG_3145.jpeg.info,NA,nattsa.holmfridur,2024-09-10T11:47:54Z,NA,NA
823,3099,http://fotoware.ni.is/fotoweb/archives/5006-Natturustofur/Voktun Natturuverndarsvaeda/Sudausturland/Grænifjallgarður/2024/G03-5/IMG_3146.jpeg.info,NA,nattsa.holmfridur,2024-09-10T11:48:00Z,NA,NA
824,3099,http://fotoware.ni.is/fotoweb/archives/5006-Natturustofur/Voktun Natturuverndarsvaeda/Sudausturland/Grænifjallgarður/2024/G03-5/IMG_3149.jpeg.info,NA,nattsa.holmfridur,2024-09-10T11:48:03Z,NA,NA
832,3101,http://fotoware.ni.is/fotoweb/archives/5006-Natturustofur/Voktun Natturuverndarsvaeda/Sudausturland/Grænifjallgarður/2024/E07-1/IMG_3093.jpeg.info,NA,nattsa.holmfridur,2024-09-11T13:42:34Z,NA,NA
833,3101,http://fotoware.ni.is/fotoweb/archives/5006-Natturustofur/Voktun Natturuverndarsvaeda/Sudausturland/Grænifjallgarður/2024/E07-1/IMG_3088.jpeg.info,NA,nattsa.holmfridur,2024-09-11T13:42:39Z,NA,NA
834,3101,http://fotoware.ni.is/fotoweb/archives/5006-Natturustofur/Voktun Natturuverndarsvaeda/Sudausturland/Grænifjallgarður/2024/E07-1/IMG_3090.jpeg.info,NA,nattsa.holmfridur,2024-09-11T13:42:41Z,NA,NA
825,3100,http://fotoware.ni.is/fotoweb/archives/5006-Natturustofur/Voktun Natturuverndarsvaeda/Sudausturland/Grænifjallgarður/2024/G09-1/IMG_3122.jpeg.info,NA,nattsa.holmfridur,2024-09-10T12:58:55Z,NA,NA
826,3100,http://fotoware.ni.is/fotoweb/archives/5006-Natturustofur/Voktun Natturuverndarsvaeda/Sudausturland/Grænifjallgarður/2024/G09-1/IMG_3124.jpeg.info,NA,nattsa.holmfridur,2024-09-10T12:58:59Z,NA,NA
827,3100,http://fotoware.ni.is/fotoweb/archives/5006-Natturustofur/Voktun Natturuverndarsvaeda/Sudausturland/Grænifjallgarður/2024/G09-1/IMG_3121.jpeg.info,NA,nattsa.holmfridur,2024-09-10T12:59:01Z,NA,NA
828,3100,http://fotoware.ni.is/fotoweb/archives/5006-Natturustofur/Voktun Natturuverndarsvaeda/Sudausturland/Grænifjallgarður/2024/G09-1/IMG_3120.jpeg.info,NA,nattsa.holmfridur,2024-09-10T12:59:03Z,NA,NA
829,3100,http://fotoware.ni.is/fotoweb/archives/5006-Natturustofur/Voktun Natturuverndarsvaeda/Sudausturland/Grænifjallgarður/2024/G09-1/IMG_3123.jpeg.info,NA,nattsa.holmfridur,2024-09-10T12:59:09Z,NA,NA
830,3100,http://fotoware.ni.is/fotoweb/archives/5006-Natturustofur/Voktun Natturuverndarsvaeda/Sudausturland/Grænifjallgarður/2024/G09-1/IMG_3119.jpeg.info,NA,nattsa.holmfridur,2024-09-10T12:59:56Z,NA,NA
835,3101,http://fotoware.ni.is/fotoweb/archives/5006-Natturustofur/Voktun Natturuverndarsvaeda/Sudausturland/Grænifjallgarður/2024/E07-1/IMG_3092.jpeg.info,NA,nattsa.holmfridur,2024-09-11T13:42:43Z,NA,NA
836,3101,http://fotoware.ni.is/fotoweb/archives/5006-Natturustofur/Voktun Natturuverndarsvaeda/Sudausturland/Grænifjallgarður/2024/E07-1/IMG_3089.jpeg.info,NA,nattsa.holmfridur,2024-09-11T13:42:46Z,NA,NA
837,3101,http://fotoware.ni.is/fotoweb/archives/5006-Natturustofur/Voktun Natturuverndarsvaeda/Sudausturland/Grænifjallgarður/2024/E07-1/IMG_3091.jpeg.info,NA,nattsa.holmfridur,2024-09-11T13:42:49Z,NA,NA
838,3102,http://fotoware.ni.is/fotoweb/archives/5006-Natturustofur/Voktun Natturuverndarsvaeda/Sudausturland/Grænifjallgarður/2024/E07-3/IMG_3068.jpeg.info,NA,nattsa.holmfridur,2024-09-11T14:15:18Z,NA,NA
